Kingdom	Phylum	Class	Order	Family	Genus	dataset1_N	dataset1_CaseAvgRA	dataset1_ContAvgRA	dataset1_Ratio	dataset2_N	dataset2_CaseAvgRA	dataset2_ContAvgRA	dataset2_Ratio
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	F0332	NA	NA	NA	NA	19	1.98220451412628e-06	6.92668781552101e-07	2.86169171603872
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	23	0.000126006470200918	9.57827231383254e-06	13.1554487147901	112	0.000271969014269063	0.000158515890599138	1.71572082294784
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	1	5.18447855995924e-06	0	Inf	15	4.90656133624988e-05	3.13176120098359e-06	15.6670991859433
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum	48	0.00046000808210392	9.28500356962018e-05	4.9543123883014	174	0.000459123261302085	0.000256420826241109	1.79050691019293
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	NA	4	4.41430419847592e-06	2.1934733524351e-05	0.201247222519268	3	2.24893140252722e-06	8.64727208133925e-07	2.60074088264251
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	5	3.36323792226953e-05	8.56758107955553e-06	3.92553964886902	43	1.25193118612173e-05	7.11000257255921e-06	1.76080271890971
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	249	0.0153324058798583	0.00835785641440675	1.83449022328611	445	0.0239243157242325	0.00880551317773782	2.71697006651676
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	6	3.57994718128324e-05	1.6526052806964e-05	2.1662445491973	33	0.000193859744156584	0.000104008919150875	1.8638761534996
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	NA	NA	NA	NA	55	1.2900840406887e-05	4.4297641477089e-06	2.91230864143396
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	NA	17	3.62822582086511e-05	3.55558083968597e-06	10.2043125566667	18	1.89601943172748e-06	7.58412189383207e-07	2.49998544099014
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	8	2.10369327985589e-05	1.07987772461457e-05	1.94808470617055	49	6.59277838256825e-06	7.64778281227246e-06	0.862050942658671
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1	63	0.0019801954199186	0.00100788403732034	1.96470560758491	280	0.00386274823308416	0.00152429233698589	2.53412560002912
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella	22	0.00010067863004102	1.47355149376765e-05	6.8323794904242	165	0.000291951906833345	6.58361963253198e-05	4.43451965831544
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	NA	30	0.000437291023950466	6.92883680580792e-05	6.3111751107187	160	0.000563995735754469	0.000628105263612106	0.897931872933278
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	NA	NA	NA	NA	1	9.74159762850547e-07	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	NA	NA	NA	NA	7	2.08591696354653e-05	5.9488852740818e-08	350.639971598458
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	NA	NA	NA	NA	6	4.7013822988233e-06	9.43386358487611e-07	4.98351736435994
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	2	0	6.0612796858212e-06	0	19	0.000192070644186188	1.13721450779641e-05	16.8895703378217
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	NA	NA	NA	NA	NA	3	1.51274290639115e-06	3.88201012125254e-06	0.389680309721361
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	NA	NA	10	1.93689843649863e-05	1.37012478518982e-05	1.41366571675462	7	1.08333568124677e-07	4.74056562624352e-07	0.228524561552209
Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	1	0	9.79412744118626e-06	0	NA	NA	NA	NA
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	14	7.99522763382049e-05	8.91162405577133e-05	0.89716841551935	66	0.000143956738996627	0.000247517523269047	0.58160221181653
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	NA	NA	NA	NA	1	1.66156190665088e-06	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	NA	NA	NA	NA	11	3.86816294876715e-06	0.000147047610437045	0.0263055138214789
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Dermabacter	1	3.23743248941562e-06	0	Inf	26	8.33471157823518e-06	2.86660167005773e-06	2.90752345025576
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter	NA	NA	NA	NA	4	6.1095343538424e-07	4.6333912569019e-08	13.1858805248567
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinimicrobium	1	0	2.36804091974709e-05	0	NA	NA	NA	NA
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Amnibacterium	1	1.3272307264531e-05	0	Inf	NA	NA	NA	NA
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	NA	NA	NA	NA	1	2.25965038067906e-07	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	1	0	6.41741429543208e-06	0	5	3.27586841496092e-06	1.25175343833423e-07	26.1702370022669
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	NA	NA	NA	31	0.000498024242406572	0.000446884702636794	1.11443564630437
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Pseudoclavibacter	3	7.33494295604337e-06	1.78934183796983e-05	0.409924073779302	45	8.96780779225788e-05	1.4072785379542e-05	6.37244692532199
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	2	1.38537148748303e-05	0	Inf	8	2.25344337877076e-06	3.77362311280147e-06	0.597156449229465
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Glutamicibacter	3	3.17965286449558e-05	6.38719842468103e-05	0.497816515643065	1	2.91368906506942e-05	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	NA	NA	NA	22	1.86519927386879e-05	0.000130515010296507	0.14291070962883
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	1	0	7.63300511411343e-06	0	23	7.07226728419818e-05	1.35682597016513e-05	5.21236137847321
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Nesterenkonia	1	1.65903840806638e-05	0	Inf	NA	NA	NA	NA
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Paenarthrobacter	1	0	9.22123589150909e-06	0	NA	NA	NA	NA
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudoglutamicibacter	4	6.53698218422918e-05	4.10496068710727e-05	1.59245914455657	24	3.87794786726016e-05	4.09053735475538e-05	0.948028958286355
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	16	2.91332678456925e-05	2.43278164517555e-05	1.19752908788451	226	6.93628600320702e-05	0.000109678219611737	0.632421462325118
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	NA	1	9.64972863584543e-06	0	Inf	1	4.4221900188518e-08	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	2	3.32388979311002e-06	1.14216966549658e-05	0.291015415092897	7	2.9571815203101e-05	2.10623310422914e-06	14.0401435832165
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	NA	NA	NA	NA	NA	NA	1	7.46769396247585e-08	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	NA	NA	NA	NA	1	0	1.44843333973734e-07	0
Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA	NA	NA	NA	1	2.88645470154942e-07	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	NA	NA	NA	NA	1	2.63632007136774e-06	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	1	0	4.14407160955741e-05	0	1	1.69579213716029e-06	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	NA	NA	NA	NA	1	0	1.12475556521797e-06	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	NA	NA	NA	NA	113	3.5768094496754e-05	1.7323509574721e-05	2.06471410094337
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Micropruina	NA	NA	NA	NA	1	9.14559733802147e-07	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	NA	NA	NA	NA	38	1.29986742586143e-05	3.91173126577572e-05	0.332299776631936
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propioniferax	NA	NA	NA	NA	1	5.83184661391449e-07	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionimicrobium	NA	NA	NA	NA	15	8.84113880414194e-06	5.74630818316817e-06	1.53857720858742
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Pseudopropionibacterium	NA	NA	NA	NA	10	3.82358616843123e-07	7.02285524323636e-07	0.544448950747444
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	NA	NA	NA	NA	22	2.30809870301226e-05	1.29303865385043e-06	17.8501910684508
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	NA	NA	NA	NA	NA	6	9.42076771024825e-07	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	1	0	5.43773790103317e-06	0	NA	NA	NA	NA
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	4	1.88346946193639e-05	8.07014165481586e-05	0.233387410345198	33	0.000525310852850379	0.000228755790240629	2.29638275952623
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	NA	NA	NA	NA	NA	2	9.41741515497534e-08	1.1140426110901e-07	0.845337068908012
Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	1	0	0.000137419543888367	0	5	0.000211863197283528	0	Inf
Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	NA	NA	NA	NA	1	9.12763646322501e-07	0	Inf
Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	2	4.57739924381364e-06	2.03521740192287e-06	2.24909596364935	6	2.66173062239936e-07	2.13122024267274e-07	1.24892330182699
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	17	6.24644190805731e-05	2.37780698634079e-05	2.62697600938164	120	9.33351342022937e-05	2.73771738309421e-05	3.40923189437489
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Coriobacteriaceae_UCG-003	NA	NA	NA	NA	1	1.4361581612987e-06	0	Inf
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Libanicoccus	NA	NA	NA	NA	7	9.74565666142037e-06	2.65351652746354e-06	3.67273260239917
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	3	2.75103905497955e-05	0	Inf	41	0.000112279448585259	8.6020706797828e-06	13.0526070715911
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	NA	3	6.14951862613015e-06	0	Inf	3	7.93365140223322e-08	1.24272381945099e-06	0.0638408251138062
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	184	0.000965153378247614	0.000875706409547737	1.10214264475473	376	0.00551366274148172	0.00404255212753344	1.36390640554235
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	NA	NA	NA	NA	21	7.3352102269086e-05	9.59543054542422e-06	7.64448264430046
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	NA	NA	NA	NA	NA	5	2.67573639914463e-06	0	Inf
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriales_Incertae_Sedis	Raoultibacter	NA	NA	NA	NA	48	4.57803510948847e-06	1.3624484484556e-06	3.36015290316334
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriales_Incertae_Sedis	NA	75	0.000354220711100075	0.000229462889703808	1.5436949807322	259	0.000207915650547089	0.000216696547634975	0.959478371096723
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	11	3.49461620314466e-05	1.73519708033594e-05	2.01395924575212	357	0.000276040575620844	0.000220552583965784	1.25158622337278
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CHKCI002	1	0	2.38521719326107e-05	0	5	7.90150649916709e-07	7.0119590326327e-07	1.12686147514476
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Cryptobacterium	NA	NA	NA	NA	5	2.13223430957711e-07	0	Inf
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Denitrobacterium	NA	NA	NA	NA	2	2.58229472004405e-07	0	Inf
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	DNF00809	NA	NA	NA	NA	45	1.31396534538073e-05	7.26070018500836e-06	1.80969508711261
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella	42	0.000156340826026821	0.000196384427741505	0.796095840310763	415	0.000563697542378776	0.000603916160331111	0.93340364011739
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	7	9.61292821120466e-06	6.45866558639769e-06	1.48837682995231	27	1.81317198281036e-05	1.94614888992951e-05	0.931671770948641
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Gordonibacter	10	3.07379521600789e-05	2.97473400321179e-06	10.3330086410723	289	0.000100954059757237	8.70343957100105e-05	1.1599329085205
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Paraeggerthella	NA	NA	NA	NA	2	2.9570573499368e-07	0	Inf
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Senegalimassilia	18	3.0314160541513e-05	3.05023793083973e-05	0.99382937426024	40	8.43566484115488e-05	4.69320868303599e-05	1.7974195078191
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	16	4.18195996202376e-05	2.10672914156964e-05	1.98504870868589	118	0.000156493021409821	0.000119217858756666	1.31266425216742
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	NA	50	0.000107257766918056	9.4951992053201e-05	1.12959996519041	199	0.000106442169009796	0.000192879248944045	0.551859101445771
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	NA	NA	11	3.24180333075122e-05	7.82230235123411e-06	4.14430839564743	82	2.65073475371423e-05	1.44851065929596e-05	1.82997255608917
Bacteria	Actinobacteria	NA	NA	NA	NA	1	1.07222508148911e-06	0	Inf	9	1.78379281294317e-06	2.16935371865301e-07	8.22269230511083
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	333	0.214817121605131	0.247898527608339	0.866552632150064	507	0.195983739635985	0.204272641320404	0.959422360082879
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	151	0.00642933616902045	0.00575222989684815	1.11771196289344	209	0.00515104329871736	0.00437197120504138	1.17819698647091
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	53	0.000261759409751694	0.000509851865927897	0.513402867076516	114	0.000759955670907346	0.000361700229474442	2.1010649399133
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	NA	20	0.000138527820566164	5.87531663096842e-05	2.35779327765915	24	8.28957952186764e-05	0.000100795790693671	0.822413263968585
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	3	0.000295145576388221	0	Inf	7	0.000473320507466572	1.25511117657347e-05	37.7114407313912
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Proteiniphilum	1	3.19386194486117e-06	0	Inf	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA	NA	NA	NA	2	2.45932068205793e-06	0	Inf
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	166	0.00199088263943202	0.00155775034975707	1.27804987477133	254	0.00228171127597989	0.00166211180232539	1.37277845737431
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	242	0.00232325909642624	0.00233547127962632	0.994770998339131	366	0.00528436471522813	0.00486711675304938	1.08572795421793
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae	Sanguibacteroides	9	4.94653431150427e-05	0	Inf	8	9.26562071261598e-06	1.94449886610507e-05	0.476504300111808
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae	NA	1	0	2.2130846416352e-06	0	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	3	0.00023780760022201	6.66059220657427e-06	35.7036721130119	10	0.000805060519373479	0.000362542192819316	2.22059814090302
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	NA	NA	NA	NA	2	0	2.44955423408062e-06	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	NA	78	0.00318120727610911	0.00742228331892928	0.428602242654357	78	0.000600403205120733	0.00112133863533442	0.535434333752063
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	124	0.00343539203733897	0.000818172209195148	4.19886180284519	285	0.00264610223306764	0.000900310323151571	2.93910018026324
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	17	0.000200876597922837	0.001873186693148	0.107237895004075	21	0.000380901464125946	0.000140312293550467	2.71466921741212
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	79	0.00236243618198151	0.00263111599108145	0.897883707897838	136	0.00119009859767353	0.00148021739364536	0.804002576096374
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	113	0.00383867044246956	0.00150185385106591	2.55595472205577	267	0.00249000466080644	0.000567143196708344	4.39043380094875
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_2	14	0.00138810665953342	0.00091968260142073	1.50933230376335	17	0.000406344212887775	0.000912867708566834	0.445129353436896
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_6	83	0.00197207233091187	0.000482364115056463	4.08834792920082	147	0.000556352867878551	0.000200298524370075	2.77761840546875
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	59	0.00102901745121613	0.00293079009318919	0.351105817372403	98	0.0015287491294075	0.00114776683408616	1.33193352866366
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	56	0.0105616356032611	0.0154649506665533	0.682940141936773	90	0.0040846021934702	0.00547405931173041	0.746174266821931
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_Ga6A1_group	1	0	2.212279975743e-05	0	2	1.86134920103654e-06	5.88382897875154e-05	0.0316349983617554
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_NK3B31_group	13	0.00123530493399872	0.0015650119503513	0.789326198896711	11	0.000255192949835287	0.000532453225751901	0.479277685800322
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-001	4	8.7760176011809e-06	0.000208629086054204	0.0420651682234797	12	0.000111327363008539	0.000430660760620975	0.258503613953625
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-003	1	1.58649295156437e-05	0	Inf	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	30	0.000455314183836523	0.000576354559407956	0.789989731848797	29	0.000153908468533855	0.000327868609964083	0.469421176216642
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	307	0.0385893384777695	0.0336820369823919	1.14569491441218	477	0.02023064028908	0.0205952451754928	0.982296647439444
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Millionella	3	3.63617751616058e-05	2.6544350300482e-06	13.6984988330814	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenella	1	1.16592332577297e-05	0	Inf	8	1.55083599801429e-05	3.23466898397142e-06	4.7944194775387
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group	21	0.00199240543488576	0.00015827449194593	12.5882914573904	10	0.000166514319357237	2.05607566734645e-05	8.09864743801663
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	NA	13	3.47321396653563e-05	1.47618035381091e-06	23.5283849806643	19	0.000122565109716208	9.90197632651186e-05	1.2377843137036
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	303	0.0301701704430904	0.0233268515179876	1.29336659170766	487	0.0221540615206389	0.0198788905616701	1.11445160643702
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	NA	3	0	5.38374501697295e-06	0	2	1.04051802789291e-07	0	Inf
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	188	0.00199564886000539	0.00134795634843226	1.48049961879436	115	0.000264978936361814	0.000313374057604089	0.845567557147897
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	1	9.88598982237348e-07	0	Inf	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Lacibacter	NA	NA	NA	NA	1	1.56669658447872e-07	0	Inf
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	NA	1	4.56265992123024e-06	0	Inf	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus_Amoebophilus	NA	NA	NA	NA	1	1.44480449507575e-06	0	Inf
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	1	7.23729647688408e-06	0	Inf	2	4.08807075414347e-07	0	Inf
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Flectobacillus	NA	NA	NA	NA	1	1.24033148128475e-06	0	Inf
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Rhabdobacter	1	1.36391968695315e-06	0	Inf	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	NA	NA	NA	NA	1	3.18200061893094e-08	0	Inf
Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	NA	1	0	0.000544467697752369	0	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	NA	NA	NA	NA	1	0	1.09670624021464e-07	0
Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	11	0.00221071174151833	1.39889161605574e-05	158.03309678498	6	0.00132527069542323	7.31962182734652e-08	18105.7263159681
